1;Other Asian
10;Black
20;Chinese
30;Cambodian
40;Filipino
50;Guamanian
60;Hispanic
70;Indian
80;Japanese
90;Korean
100;Laotian
110;Pacific Islander
120;Samoan
130;Hawaiian
140;Vietnamese
150;White
160;Other
170;Unknown
180;Asian Indian
