119,"19482","Los Angeles County","Superior","Monrovia"
120,"19484","Los Angeles County","Superior","Santa Monica"
121,"10486","Los Angeles County","Superior","Torrance"
122,"19490","Los Angeles County","Superior","Whittier"
123,"19495","Los Angeles County","Superior","Hollywood"
124,"19496","Los Angeles County","Superior","San Fernando"
125,"19497","Los Angeles County","Superior","San Pedro"
126,"19498","Los Angeles County","Superior","West Los Angeles"
127,"19610","Los Angeles County","Superior","Catalina/Avalon"
128,"20100","Madera County","Superior","Madera"
129,"20200","Madera County","Juvenile","Madera"
130,"20620","Madera County","Superior","Chochilla"
131,"20640","Madera County","Superior","Borden"
132,"20660","Madera County","Superior","Madera"
133,"20680","Madera County","Superior","Bass Lake"
134,"21420","Marin County","Superior","San Rafael"
135,"22100","Mariposa County","Superior","Mariposa"
136,"22200","Mariposa County","Juvenile","Mariposa"
137,"22650","Mariposa County","Superior","Mariposa"
138,"23100","Mendocino County","Superior","Ukiah"
139,"23200","Mendocino County","Juvenile","Ukiah"
140,"23210","Mendocino County","Juvenile","Ukiah"
141,"23450","Mendocino County","Superior","Willits"
142,"23480","Mendocino County","Superior","Ukiah"
143,"23675","Mendocino County","Superior","Fort Bragg"
144,"24200","Merced County","Juvenile","Merced"
145,"24450","Merced County","Superior","Merced"
146,"24455","Merced County","Superior","Los Banos"
147,"25100","Modoc County","Superior","Alturas"
148,"25200","Modoc County","Juvenile","Alturas"
149,"26100","Mono County","Superior","Bridgeport"
150,"26200","Mono County","Juvenile","Bridgeport"
151,"26650","Mono County","Superior","Bridgeport"
152,"26660","Mono County","Superior","Mammoth Lakes"
153,"27100","Monterey County","Superior","Salinas"
154,"27200","Monterey County","Juvenile","Salinas"
155,"27450","Monterey County","Superior","Monterey"
156,"27470","Monterey County","Superior","Salinas"
157,"27650","Monterey County","Superior","King City"
158,"28100","Napa County","Superior","Napa"
159,"29100","Nevada County","Superior","Nevada City"
160,"29200","Nevada County","Juvenile","Nevada City"
161,"29210","Nevada County","Juvenile","Truckee"
162,"29460","Nevada County","Superior","Nevada City"
163,"29480","Nevada County","Superior","Truckee"
164,"30100","Orange County","Superior","Santa Ana"
165,"30200","Orange County","Juvenile","Lamoreaux/Orange"
166,"30420","Orange County","Superior","Fullerton"
167,"30440","Orange County","Superior","Westminster"
168,"30450","Orange County","Superior","Laguna Hills"
169,"30452","Orange County","Superior","Laguna Niquel"
170,"30460","Orange County","Superior","Newport Beach"
171,"30470","Orange County","Superior","Santa Ana"
172,"31200","Placer County","Juvenile","Auburn"
173,"31205","Placer County","Superior","Tahoe City"
174,"31410","Placer County","Superior","Auburn"
175,"31420","Placer County","Superior","Colfax"
176,"31450","Placer County","Superior","Lincoln"
177,"31455","Placer County","Superior","Roseville"
178,"31480","Placer County","Superior","Tahoe City"
179,"31680","Placer County","Superior","Tahoe City"
180,"32100","Plumas County","Superior","Quincy"
181,"32200","Plumas County","Juvenile","Quincy"
182,"32610","Plumas County","Superior","Greenville"
183,"32640","Plumas County","Superior","Chester"
184,"32650","Plumas County","Superior","Portola"
185,"32660","Plumas County","Superior","Quincy"
186,"33100","Riverside County","Superior","Riverside"
187,"33110","Riverside County","Superior","Indio"
188,"33230","Riverside County","Juvenile","Riverside"
189,"33240","Riverside County","Juvenile","Indio"
190,"33440","Riverside County","Superior","Corona"
191,"33442","Riverside County","Superior","Hemet"
192,"33450","Riverside County","Superior","Banning"
193,"33480","Riverside County","Superior","Indio/Moreno Valley"
194,"33490","Riverside County","Superior","Blythe"
195,"33491","Riverside County","Superior","Perris"
196,"34100","Sacramento County","Superior","Temcula"
197,"34200","Sacramento County","Juvenile","Sacramento"
198,"34470","Sacramento County","Superior","Sacramento"
199,"35100","San Benito County","Superior","Holister"
200,"35200","San Benito County","Juvenile","Holister"
201,"36100","San Bernardino County","Superior","San Bernardino"
